"Date","Price","Open","High","Low","Change %"
"May 13, 2020","2.843","2.871","2.871","2.843","-0.98%"
"May 12, 2020","2.871","2.871","2.871","2.871","-2.48%"
"May 11, 2020","2.944","3.063","3.063","2.944","-3.89%"
"May 08, 2020","3.063","3.157","3.157","3.063","-3.01%"
"May 07, 2020","3.158","3.110","3.158","3.110","1.54%"
"May 06, 2020","3.110","3.023","3.110","3.023","2.84%"
"May 05, 2020","3.024","3.042","3.042","3.024","-0.59%"
"May 04, 2020","3.042","3.048","3.048","3.042","2.29%"
"May 01, 2020","2.974","2.974","2.974","2.974","0.00%"
"Apr 30, 2020","2.974","2.974","2.974","2.974","-2.49%"
"Apr 29, 2020","3.050","3.063","3.063","3.049","-0.49%"
"Apr 28, 2020","3.065","3.065","3.065","3.065","-1.00%"
"Apr 27, 2020","3.096","3.197","3.197","3.096","-3.16%"
"Apr 24, 2020","3.197","3.182","3.197","3.182","0.44%"
"Apr 23, 2020","3.183","3.245","3.245","3.183","-1.94%"
"Apr 22, 2020","3.246","3.246","3.246","3.246","-0.03%"
"Apr 21, 2020","3.247","3.229","3.247","3.229","0.56%"
"Apr 20, 2020","3.229","3.246","3.246","3.229","-0.52%"
"Apr 17, 2020","3.246","3.277","3.277","3.246","-0.98%"
"Apr 16, 2020","3.278","3.305","3.305","3.278","-0.85%"
"Apr 15, 2020","3.306","3.243","3.306","3.243","1.91%"
"Apr 14, 2020","3.244","3.219","3.244","3.219","0.78%"
"Apr 13, 2020","3.219","3.224","3.224","3.219","-0.16%"
"Apr 10, 2020","3.224","3.154","3.224","3.154","2.19%"
"Apr 09, 2020","3.155","3.142","3.155","3.142","0.41%"
"Apr 08, 2020","3.142","3.173","3.173","3.142","-1.01%"
"Apr 07, 2020","3.174","3.436","3.436","3.174","-7.65%"
"Apr 06, 2020","3.437","3.526","3.526","3.437","-2.52%"
"Apr 03, 2020","3.526","3.621","3.621","3.526","-0.59%"
"Apr 02, 2020","3.547","3.547","3.547","3.547","-2.07%"
"Apr 01, 2020","3.622","3.517","3.622","3.517","2.99%"
"Mar 31, 2020","3.517","3.540","3.540","3.517","-0.65%"
"Mar 30, 2020","3.540","3.454","3.540","3.454","2.49%"
"Mar 27, 2020","3.454","3.297","3.454","3.297","4.70%"
"Mar 26, 2020","3.299","2.968","3.299","2.968","11.11%"
"Mar 25, 2020","2.969","3.157","3.157","2.969","-5.98%"
"Mar 24, 2020","3.158","3.170","3.170","3.158","-0.38%"
"Mar 23, 2020","3.170","2.880","3.170","2.880","10.07%"
"Mar 20, 2020","2.880","2.844","2.880","2.844","1.23%"
"Mar 19, 2020","2.845","2.596","2.845","2.596","9.59%"
"Mar 18, 2020","2.596","2.473","2.596","2.473","4.97%"
