Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,11.66,11.27,10.91,7.20,22.53,2.10,-2.16,3.81,16.59,7.30,4.82,0.57,2.45,5.10,1.95,0.79,..
Albania,-0.43,35.51,232.98,125.65,35.84,9.97,38.17,11.24,6.73,2.10,5.64,3.81,3.64,5.20,3.16,3.30,2.48,4.39,4.12,2.42,4.49,2.31,1.04,0.29,1.55,0.56,-0.63,1.47,0.95,..
Algeria,30.26,53.79,21.93,13.62,29.08,28.58,24.02,7.00,-3.13,10.85,22.67,-0.47,1.32,8.34,12.24,16.13,10.55,6.39,15.31,-11.16,16.12,18.23,7.46,-0.10,-0.30,-6.46,1.55,4.70,7.56,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,1.70,-3.37,-1.36,2.90,2.82,11.17,25.75,-15.42,-0.64,17.35,2.36,-0.78,1.53,1.45,-1.93,3.39,..
Andorra,7.33,6.94,6.71,4.54,3.88,4.93,0.80,2.23,1.50,2.73,29.23,2.77,3.40,2.88,3.35,3.10,3.20,3.87,1.98,0.00,1.60,2.50,1.10,0.00,-0.10,-0.46,0.70,1.06,0.90,..
Angola,14.01,106.31,476.52,917.78,2175.98,1825.50,4800.53,95.45,39.36,557.50,418.02,106.35,196.98,93.93,33.44,42.38,17.12,4.31,19.37,-16.76,31.69,31.77,7.26,2.84,3.56,-3.52,21.77,22.61,34.84,..
Antigua and Barbuda,1.65,2.61,2.46,1.81,3.25,2.40,2.98,1.83,2.11,1.50,1.55,1.48,0.70,-0.96,1.64,4.46,0.41,3.74,4.38,1.79,1.52,1.02,2.04,-0.95,1.91,3.02,1.87,-0.93,2.16,..
Argentina,2078.32,140.50,16.07,-3.56,2.85,3.17,-0.05,-0.46,-1.71,-1.84,1.04,-1.10,30.56,10.50,18.36,10.32,13.74,14.94,23.17,15.38,20.92,23.70,22.31,23.95,40.28,26.58,41.12,26.01,40.70,..
Armenia,..,79.39,568.81,1391.17,4107.30,161.16,19.59,17.74,10.70,0.05,-1.37,4.07,2.37,4.56,6.31,3.24,4.62,4.23,5.99,2.56,7.77,4.28,5.35,3.37,2.31,1.21,0.27,2.15,2.58,..
Aruba,5.82,5.61,3.79,5.30,6.30,3.37,3.28,3.71,6.57,2.20,1.05,5.63,4.53,2.10,2.17,3.33,2.95,5.95,5.07,1.73,-0.68,3.11,0.79,-2.25,1.78,2.04,-1.45,0.69,..,..
Australia,6.10,3.04,1.50,0.89,1.02,2.26,2.70,1.23,1.27,0.36,2.58,4.62,2.86,3.11,3.31,3.80,5.09,5.01,4.53,5.00,1.17,6.25,1.86,-0.12,1.48,-0.55,-0.53,3.74,1.89,..
Austria,3.00,3.64,3.48,2.76,2.52,1.81,0.99,1.27,0.44,0.26,1.36,1.95,1.15,1.31,1.74,2.54,1.89,2.22,1.96,1.89,0.87,1.83,2.05,1.62,2.18,2.30,1.67,1.13,1.70,..
Azerbaijan,..,83.55,1065.33,747.12,1386.07,545.66,26.42,9.24,-0.97,2.16,12.49,2.52,4.21,6.96,9.25,14.72,11.33,20.58,27.97,-18.90,13.83,24.61,2.84,0.41,-1.33,-8.81,14.63,16.73,11.87,..
"Bahamas, The",5.07,2.56,3.91,-0.85,2.18,0.80,0.98,71.91,3.05,4.95,0.92,0.35,3.96,1.15,1.19,5.06,0.83,2.95,1.49,-1.04,-0.39,-0.86,3.27,1.53,2.56,7.05,1.13,1.71,0.68,..
Bahrain,4.83,-1.88,-3.53,-3.03,7.33,1.09,0.20,0.93,-7.06,2.66,29.99,-3.36,3.41,8.60,10.99,13.73,8.84,8.44,11.37,-12.99,7.44,9.74,3.01,0.38,-1.67,-9.37,0.13,5.84,4.67,..
Bangladesh,6.53,2.73,2.58,0.16,3.97,7.14,19.14,3.80,4.74,3.78,3.45,3.26,3.89,5.82,4.56,4.59,5.88,6.47,7.86,6.76,7.14,7.86,8.16,7.17,5.67,5.87,6.73,6.28,5.60,..
Barbados,22.80,3.22,2.49,4.65,3.06,3.07,2.55,0.91,8.70,4.44,-1.34,2.26,0.90,1.12,5.82,6.68,2.41,8.80,1.45,-1.91,3.69,3.64,-0.96,2.87,0.58,-1.55,0.15,3.26,3.63,..
Belarus,..,110.38,1030.78,1058.71,1945.75,661.50,53.71,71.65,76.58,316.79,185.29,79.53,44.89,30.69,22.68,18.97,10.75,12.87,21.21,9.26,11.29,71.04,75.28,21.26,18.11,16.02,8.34,8.62,12.14,..
Belgium,2.81,2.88,3.42,3.99,2.09,1.22,0.48,0.76,1.81,0.60,2.01,1.98,1.64,1.85,1.92,2.08,2.26,1.93,1.91,0.53,1.89,1.81,1.96,1.27,0.98,1.34,1.74,1.72,1.53,..
Belize,0.17,-3.18,3.99,1.65,3.59,6.08,1.97,-1.48,1.50,-2.23,0.48,-0.22,1.75,-2.86,2.07,2.68,4.48,4.85,2.73,-3.09,-0.23,3.83,1.28,2.83,1.53,0.23,3.59,2.00,-1.12,..
Benin,2.18,0.76,3.03,2.38,35.03,15.10,6.91,3.67,5.23,48.34,4.34,1.97,3.55,3.06,0.77,4.29,2.09,0.39,6.43,2.54,0.88,3.73,7.70,1.40,-0.25,0.85,0.68,-0.37,0.59,..
Bermuda,6.03,6.43,2.81,5.20,1.96,4.18,29.36,4.02,2.74,2.71,-4.24,-1.37,8.58,2.82,4.69,6.76,5.38,5.87,2.09,0.33,1.05,-0.03,4.83,3.25,..,..,..,..,..,..
Bhutan,5.71,8.76,9.30,8.19,12.85,8.05,8.06,12.49,10.51,7.44,-1.14,5.36,4.76,3.07,3.70,5.90,5.42,2.95,5.51,4.76,5.85,8.51,9.18,5.87,6.92,3.56,4.38,5.10,1.78,..
Bolivia,16.27,17.69,13.20,6.56,7.95,11.43,11.58,5.71,7.05,2.41,5.20,1.87,2.82,6.33,7.97,5.94,13.66,7.37,10.38,-2.42,8.78,14.60,7.10,6.00,2.05,-4.62,-1.35,6.06,3.06,..
Bosnia and Herzegovina,..,..,..,..,..,8.85,-17.06,13.01,-1.58,8.36,28.79,2.96,4.46,0.91,8.44,-2.76,7.80,6.20,7.35,0.18,1.51,2.48,0.67,-0.23,1.01,1.37,1.41,2.74,2.75,..
Botswana,6.30,5.18,6.64,13.06,9.46,7.16,16.11,4.99,9.97,14.24,14.17,8.31,1.19,3.26,10.08,15.47,7.47,4.93,4.73,6.46,8.92,13.96,0.19,2.31,11.90,1.87,11.95,2.61,0.93,..
Brazil,2700.44,414.24,968.18,2001.35,2302.84,89.50,18.46,7.73,4.92,8.01,5.61,8.23,9.80,14.09,7.75,7.43,6.77,6.44,8.78,7.31,8.42,8.32,7.94,7.50,7.85,7.57,8.10,3.64,3.29,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,8.41,-2.84,1.73,-2.95,-8.76,2.87,4.49,8.58,-11.65,11.59,29.02,-5.59,0.37,6.10,15.89,18.77,10.05,1.12,12.69,-22.09,16.69,20.18,1.22,-2.82,-2.01,-17.47,-9.18,4.95,9.22,..
Bulgaria,26.19,226.54,59.58,51.09,72.70,134.52,69.77,779.47,31.17,3.22,7.20,6.11,3.77,2.27,5.66,6.51,6.74,11.09,8.13,4.05,1.11,5.98,1.56,-0.70,0.46,2.21,2.25,3.40,3.62,..
Burkina Faso,1.81,-3.97,0.23,-1.44,14.64,6.77,0.35,1.56,7.94,4.44,-0.82,3.18,3.84,1.48,0.09,3.74,-0.66,0.99,7.64,2.41,6.81,6.71,5.82,-2.13,-0.62,-3.07,-1.26,4.73,2.37,..
Burundi,5.99,4.09,5.40,7.74,6.64,16.10,14.45,32.40,11.45,14.95,38.94,13.72,1.03,11.95,13.15,18.84,2.85,8.27,24.22,10.46,8.56,8.36,14.29,7.96,5.30,21.33,0.96,11.45,-2.85,..
Cabo Verde,2.35,4.79,-4.12,49.35,-29.17,-1.55,-0.55,-0.84,-0.34,7.61,-7.90,5.16,-0.36,4.92,-6.33,-1.79,4.64,8.75,3.55,2.17,0.51,2.68,0.55,1.43,-0.15,1.74,-0.23,0.69,1.53,..
Cambodia,..,..,..,..,59.97,8.00,3.03,6.01,10.36,1.26,-4.28,2.65,0.71,1.80,4.82,6.08,4.63,6.52,12.25,2.50,3.12,3.36,1.44,0.78,2.63,1.72,3.38,3.32,3.08,..
Cameroon,1.64,3.57,-1.28,39.80,9.62,4.99,1.07,5.59,4.31,-1.12,5.21,1.46,1.84,0.20,1.99,0.75,3.36,0.96,6.61,1.65,1.91,2.67,2.67,2.04,2.10,0.18,1.09,1.48,1.60,..
Canada,3.41,3.05,1.48,1.30,1.47,2.24,1.74,1.14,0.87,3.07,4.60,2.02,0.84,1.26,2.46,1.38,1.09,-1.33,4.00,-2.32,2.87,3.24,1.20,1.73,1.96,-0.90,0.80,2.56,1.93,..
Cayman Islands,..,..,..,..,..,..,..,..,..,4.85,3.48,1.98,2.55,1.67,4.40,7.30,74.52,2.41,3.05,0.61,-0.21,-0.46,1.26,1.38,0.89,0.34,0.92,1.86,..,..
