Afghanistan,9.89,38.24,14.14,14.15,13.26,11.74,9.00,11.92,8.32,7.08,6.55,18.99,54.13,64.96,91.74,109.73,109.55,183.86,173.55,215.29,213.64,223.98,213.94,159.67,148.12,124.20,115.01,105.02,101.93
Albania,3.36,101.61,126.16,83.87,50.85,56.65,71.54,53.44,85.90,157.03,102.90,87.75,100.74,114.92,99.42,104.63,108.28,103.92,123.79,122.00,125.32,130.62,120.38,93.25,97.32,116.35,59.47,58.54,119.62
Algeria,12.88,8.00,13.87,11.81,10.47,10.28,10.49,8.33,13.91,4.51,6.44,6.32,5.84,7.42,9.70,10.48,7.15,11.56,9.35,8.56,5.59,5.27,3.94,5.33,4.13,1.79,3.56,4.22,3.41
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,22.43,22.62,27.15,22.13,33.11,29.86,31.89,23.85,21.83,24.42,18.43,16.68,23.63,27.23,61.02,21.34,8.12,12.44,17.01,10.61,10.07,7.97,9.70,10.98,8.74,13.63,7.16,7.49,5.18
Antigua and Barbuda,73.73,114.10,72.44,45.61,61.90,33.06,55.15,60.67,136.29,145.16,129.97,111.12,172.55,71.00,23.65,98.94,39.66,59.39,71.08,49.11,223.34,172.77,23.12,17.37,27.55,15.92,0.63,103.95,174.27
Argentina,5.26,8.40,7.96,7.24,4.68,4.25,3.47,2.78,2.05,2.26,2.02,4.23,2.63,3.09,2.53,2.41,2.91,2.27,3.12,2.87,3.19,2.35,4.26,0.82,1.14,-0.44,0.06,-0.03,1.60
Armenia,..,0.78,6.52,32.55,58.25,67.67,92.25,53.07,62.49,67.74,70.33,69.32,97.30,82.97,85.35,57.90,72.81,120.00,101.81,140.44,111.33,130.71,93.81,96.76,91.82,118.77,111.18,87.00,47.12
Aruba,482.39,386.40,439.36,342.88,238.07,321.20,234.74,293.38,129.01,-82.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,..,0.04,1.01,3.18,19.62,15.55,12.41,23.48,15.21,21.42,17.47,28.47,42.93,36.68,21.17,25.07,24.03,24.86,25.69,24.32,17.28,31.37,30.85,-7.52,22.73,7.21,8.14,12.54,8.45
"Bahamas, The",12.29,10.57,10.64,4.28,3.63,15.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,277.26,185.77,153.15,207.81,174.30,177.17,228.66,252.60,325.44,97.21,90.93,101.51,83.77,169.22,70.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,17.34,15.27,13.88,10.56,12.28,8.97,8.20,7.18,7.98,8.03,7.65,7.06,6.09,9.66,10.38,9.00,7.29,9.17,12.24,7.42,8.99,9.63,14.26,17.24,15.68,16.59,16.03,23.68,18.84
Barbados,8.74,8.86,4.87,18.87,10.95,1.92,21.46,21.78,63.79,-2.18,6.63,1.17,17.37,77.53,110.07,-2.28,-3.21,67.10,33.15,41.80,55.22,..,..,..,..,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.00,7.78,8.94,11.66,10.33,14.36,12.65,10.87,11.32,12.73,11.02,-2.35,-26.34,12.34
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,161.66,113.90,134.62,157.42,159.51,90.98,98.43,62.14,63.06,198.34,65.30,88.17,88.73,47.06,24.23,41.30,26.53,71.16,76.17,83.39,75.05,63.56,77.54,148.30,106.29,78.32,94.90,90.69,87.09
Benin,53.61,51.59,50.46,52.11,44.87,47.51,47.31,35.21,31.72,31.88,35.65,39.63,30.37,40.16,50.55,43.73,48.72,56.22,73.21,75.75,74.93,71.09,52.20,65.99,58.26,41.29,46.06,60.85,49.65
Bermuda,711.16,-79.97,-85.33,-81.82,-210.38,-34.81,-67.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,78.09,103.55,99.01,115.92,136.15,129.92,105.45,107.56,92.92,113.55,79.69,90.47,97.43,116.05,112.91,121.42,140.58,143.85,117.66,149.44,141.85,171.14,230.41,192.61,181.68,133.65,70.04,158.99,133.18
Bolivia,70.66,68.15,91.73,74.75,72.20,89.06,97.71,79.16,67.85,62.95,50.61,78.78,68.67,85.63,77.92,58.80,85.96,45.91,60.60,61.88,55.76,53.46,63.76,66.62,63.00,72.80,63.13,84.80,64.03
Bosnia and Herzegovina,0.00,0.00,3.71,17.22,103.79,252.23,226.28,230.74,245.02,343.61,196.72,170.44,147.84,144.04,182.27,143.38,142.57,159.22,123.86,111.71,137.95,170.92,157.57,147.13,180.98,103.92,131.74,131.44,105.77
Botswana,112.86,98.82,81.60,92.84,59.40,61.03,49.56,78.95,67.43,37.81,18.63,17.27,21.89,16.17,26.40,26.83,36.28,56.02,377.47,144.54,77.84,58.80,35.83,52.06,47.58,30.90,41.93,46.30,36.59
Brazil,1.17,1.29,-1.53,1.26,1.63,1.63,1.57,1.37,1.53,0.84,1.46,1.42,1.32,1.26,0.97,1.17,0.59,1.73,2.44,1.93,2.37,4.26,6.47,5.75,4.51,4.91,3.27,1.32,2.05
British Virgin Islands,318.49,334.33,295.04,176.20,575.65,74.04,62.04,95.09,59.03,127.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
