Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.70,..,..,..,38.30,..,..,..,..,54.50,..,..
Albania,..,..,..,..,..,..,..,..,..,..,..,..,25.40,..,..,18.50,..,..,12.40,..,..,..,14.30,..,..,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.50,..,..,..,..,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.60,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.30,25.70,32.00
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.50,40.10,30.20,26.40,27.60,34.10,35.80,35.00,32.40,32.00,30.00,29.80,29.40,25.70,23.50
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,49.60,..,..,..,..,..,15.80,13.20,10.90,9.10,7.60,6.00,..,..,..,..,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,48.90,..,..,..,..,40.00,..,..,..,..,31.50,..,..,..,..,..,24.30,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,41.90,28.90,30.50,27.10,17.80,12.70,11.10,7.70,6.10,5.40,5.20,7.30,6.30,5.50,4.80,5.10,5.70,5.90,5.60
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.50,33.00,..,..,35.20,36.20,..,..,..,40.10,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.20,..,..,..,..,12.00,..,..,..,..,8.20,..
Bolivia,..,..,..,..,..,..,..,..,..,..,66.40,63.10,63.30,..,63.10,59.60,59.90,60.10,57.30,51.30,..,45.10,43.30,38.90,39.10,38.60,39.50,36.40,34.60
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.20,..,..,..,17.90,..,..,..,16.90,..,..,..
Botswana,..,..,..,32.90,..,..,..,..,..,..,..,..,30.60,..,..,..,..,..,..,19.30,..,..,..,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.90,23.40,22.00,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,51.10,..,..,..,..,..,46.70,..,..,..,..,40.10,..,..,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.10,..,..,..,..,..,..,64.90,..,..,..,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,58.00,..,..,..,..,..,46.00,..,..,..,..,..,..,..,35.00,..,..,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,50.20,..,..,45.00,..,34.00,23.90,22.10,20.50,17.70,..,..,..,..,..,..
Cameroon,..,..,..,..,..,..,53.30,..,..,..,..,40.20,..,..,..,..,..,39.90,..,..,..,..,..,..,37.50,..,..,..,..
Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.00,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,..,..,..,..,..,..,..,..,54.80,..,..,..,..,..,..,..,..,46.70,..,..,..,..,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,36.00,..,..,35.40,..,..,29.10,..,..,25.30,..,22.20,..,14.40,..,11.70,..,8.60,..
China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.50,7.20,5.70,4.50,3.10,1.70
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,49.70,48.00,47.40,45.00,..,..,42.00,40.30,37.20,34.10,32.70,30.60,28.50,27.80,28.00,26.90,27.00
Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.80,..,..,..,..,..,..,..,..,42.40,..,..,..,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.30,..,..,..,..,..,..,..,63.90,..,..,..,..,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.70,..,..,..,..,..,40.90,..,..,..,..,..,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.70,20.60,20.70,22.40,21.70,20.50,20.00,21.10
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,38.40,..,..,..,..,..,48.90,..,..,..,..,..,..,46.30,..,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.60,20.90,20.40,19.50,19.40,20.00,19.50,20.00,19.40,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.40,9.90,9.60,9.00,8.60,9.00,9.80,9.60,8.60,9.70,..,..,..,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.10,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.60,22.80
Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.70,35.10,36.00,32.80,28.60,27.30,25.60,22.50,23.30,22.90,21.50,23.20
"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,16.70,..,..,..,..,19.60,..,..,..,21.60,..,25.20,..,26.30,..,..,27.80,..,32.50,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.00,37.80,36.50,40.60,34.50,29.60,31.80,34.90,32.70,29.20,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.80,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,69.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.80,..,..,..,..,..
Ethiopia,..,..,..,..,..,45.50,..,..,..,44.20,..,..,..,..,38.70,..,..,..,..,..,29.60,..,..,..,..,23.50,..,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,..,..,..,..,39.80,..,..,..,..,..,35.20,..,..,..,..,34.00,..,..,..,..,..
