Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,..,..,..,..,..,..,..,..,..,276638442.6,285296007.1,189155431.3,137851622,142674569.8,139092209.9,141728184.4,94296932.75,96663319.86,91314450.44,90058008.36,105412463,196798215.7,166815679.1,176833871.5,168288844.9,144019727,414179630.9,353143988.8,371418617.8,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,3615300000,18639700000,18623100000,44055310000,36867200000,37783780000,44692350000,59251850000,45332800000,55847580000,45839340000,33384000000,16571000000,34994620000,40593870000,47590300000,51240130000,57070160000,39850360000,45744930000,63909790000,43579790000,34254750000,53104790000,60142040000,56134630000,63601116144,1.0874E+11,45986050000,39393540000
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,1.07936E+11,1.44823E+11,1.35153E+11,2.04463E+11,2.18865E+11,2.45218E+11,3.12477E+11,2.95766E+11,3.28928E+11,4.27835E+11,3.72794E+11,3.75131E+11,3.80087E+11,5.8553E+11,7.76403E+11,8.04015E+11,1.09586E+12,1.29832E+12,6.83872E+11,1.26191E+12,1.45449E+12,1.19819E+12,1.38687E+12,1.36596E+12,1.28871E+12,1.18708E+12,1.26849E+12,1.50846E+12,1.2628E+12,1.4876E+12
Austria,26319750000,24231900000,19749700000,26238140000,28819770000,30617340000,31914600000,36820060000,2600180000,33022950000,29935220000,25204350000,33578130000,56522450000,87776270000,1.26251E+11,1.9277E+11,2.36448E+11,76288700000,1.14076E+11,1.26032E+11,85269520000,1.06037E+11,1.17671E+11,96790330000,96079380000,1.20977E+11,1.50646E+11,1.16802E+11,1.33098E+11
Azerbaijan,..,..,..,..,..,..,..,..,3040000,3220000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,4711490000,7833200000,6769230000,7158840000,6624350000,6599500000,7484060265,9626790000,13540850000,17364820000,21122390000,27088350000,19947350000,16262630000,20059730000,16589950000,..,..,22067530000,19251070000,19394198865,21706180000,21862700000,26882280000
Bangladesh,..,..,..,464100000,1019900000,1926220000,7381510000,2770310000,2029540000,1561590000,2192180000,978300000,14892060000,..,..,3299610000,3850310000,8732760000,11721070000,20928930000,41616870000,47699530000,..,..,..,..,70419424536,86178750000,77390500000,..
Barbados,..,..,..,326900000,515100000,491620000,765740000,1135000000,1753490000,2036020000,1706530000,1837300000,..,..,..,..,..,..,..,..,2186550000,4567520000,..,..,..,..,3096500000,3350900000,3541580000,3398000000
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Belgium,65449090000,71113600000,64104900000,77975730000,84124970000,1.01422E+11,1.18802E+11,1.36934E+11,2.44038E+11,1.84136E+11,1.82481E+11,1.65843E+11,1.27557E+11,1.73553E+11,2.73247E+11,2.88481E+11,3.96168E+11,3.85553E+11,1.67218E+11,2.59769E+11,2.68726E+11,2.29321E+11,2.99517E+11,3.74326E+11,3.78526E+11,4.14556E+11,3.78144E+11,4.37794E+11,3.21094E+11,4.70171E+12
Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,2146000000,2558000000,2153000000,2900700000,1849440000,2124780000,2703530000,2731110000,1912330000,1360190000,1534950000,1232340000,1486900000,1467000000,1601480000,1850000000,2521628651,2874800000,2393200000,2965300000
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,..,..,..,228600000,265300000,397580000,328380000,613190000,723960000,1051980000,977610000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,2.26152E+11,1.86238E+11,1.26762E+11,2.3456E+11,3.30347E+11,4.74647E+11,7.10247E+11,1.36971E+12,5.91966E+11,1.33725E+12,1.54557E+12,1.22894E+12,1.22745E+12,1.02046E+12,8.43894E+11,4.90534E+11,7.58559E+11,9.54715E+11,9.16824E+11,1.18736E+12
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,..,..,..,12000000,48300000,58140000,5600000,..,144320000,102490000,129090000,82200000,721640000,1755120000,2803950000,5085620000,10324970000,21667660000,8880420000,8653170000,7376360000,8253250000,..,..,..,..,..,..,..,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,4.58679E+11,5.08633E+11,4.5795E+11,5.95516E+11,5.75716E+11,6.71743E+11,8.79798E+11,1.01051E+12,1.08193E+12,1.44828E+12,7.70842E+11,6.15266E+11,8.88678E+11,9.10231E+11,1.17752E+12,1.48218E+12,1.70071E+12,2.18655E+12,1.03365E+12,1.67743E+12,2.17119E+12,1.91287E+12,2.05997E+12,2.11382E+12,2.09542E+12,1.5934E+12,1.99352E+12,2.36706E+12,1.9379E+12,..
Cayman Islands,..,..,..,..,..,..,..,169940000,166120000,58000000,220160000,189090000,138990000,2752110000,2476990000,1810120000,158000000,165000000,159000000,169000000,238000000,2275900000,2006310000,..,..,315630000,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,159150000,247360000,255080000,454100000,265840000,227350000,184300000,537340000,1479740000,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,28138400000,32256800000,44833400000,68050350000,72927720000,65971300000,72046180000,51866170000,68227520000,60400770000,56309720000,49827000000,86525910000,1.16924E+11,1.36493E+11,1.74419E+11,2.1291E+11,1.31808E+11,2.30732E+11,3.41799E+11,2.70289E+11,3.13325E+11,2.6515E+11,2.33245E+11,1.90352E+11,2.1248E+11,2.94676E+11,2.5074E+11,2.03792E+11
China,..,..,..,..,..,..,..,..,..,..,..,..,..,5.12979E+11,4.4772E+11,4.01852E+11,1.14545E+12,4.47887E+12,1.77878E+12,3.57315E+12,4.02784E+12,3.41211E+12,3.69738E+12,3.94914E+12,6.00495E+12,8.18802E+12,7.32074E+12,8.71127E+12,6.32488E+12,8.5155E+12
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50500810000,56204320000,1.01956E+11,87716200000,1.4052E+11,2.08502E+11,2.01296E+11,2.62101E+11,2.02693E+11,1.46746E+11,85955450000,1.03819E+11,1.21477E+11,1.03848E+11,1.3204E+11
Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,..,..,..,357000000,..,616860000,782610000,822490000,1308290000,2308350000,..,..,..,520490000,1558300000,1510240000,1879810000,2181820000,1905330000,1468480000,1444920000,1498420000,..,..,..,..,2921600000,3010800000,..,2217350000
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,..,..,..,..,513900000,892170000,2981670000,4232900000,2928580000,2508850000,2744640000,3127500000,8109770000,6125730000,10958640000,12918190000,29005630000,70222950000,27126480000,26618990000,25596130000,22558380000,..,21484740000,20036880000,18414470000,20180810000,22764800000,20508990000,22458260000
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16158020000,17251300000,7987930000,10268870000,6834300000,2853320000,1995750000,2104730000,4031000000,2692400000,2511333006,2822392823,3313490000,4284870000
