"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","3,763.21","3,622.15","3,782.21","3,622.15","-","3.34%"
"May 10, 2020","3,641.64","3,820.96","3,863.03","3,534.32","-","-4.63%"
"May 03, 2020","3,818.24","3,977.56","4,036.99","3,818.24","-","-4.01%"
"Apr 26, 2020","3,977.56","3,679.67","4,020.21","3,679.67","-","8.10%"
"Apr 19, 2020","3,679.67","3,819.61","3,822.83","3,645.38","-","-3.66%"
"Apr 12, 2020","3,819.61","3,822.18","3,930.67","3,758.03","-","-0.07%"
"Apr 05, 2020","3,822.18","3,674.43","3,860.98","3,674.43","-","4.02%"
"Mar 29, 2020","3,674.43","3,228.37","3,695.11","3,228.37","-","13.82%"
"Mar 22, 2020","3,228.37","3,077.18","3,364.69","2,894.01","-","4.91%"
"Mar 15, 2020","3,077.18","3,763.57","3,765.08","2,850.78","-","-18.24%"
"Mar 08, 2020","3,763.57","4,229.46","4,229.46","3,683.47","-","-11.02%"
"Mar 01, 2020","4,229.46","4,122.63","4,368.63","4,121.42","-","2.59%"
"Feb 23, 2020","4,122.63","4,532.62","4,532.62","4,122.63","-","-9.05%"
"Feb 16, 2020","4,532.62","4,655.86","4,657.43","4,494.48","-","-2.65%"
"Feb 09, 2020","4,655.86","4,686.83","4,688.14","4,619.97","-","-0.66%"
"Feb 02, 2020","4,686.83","4,572.06","4,710.61","4,571.08","-","2.51%"
"Jan 26, 2020","4,572.06","4,640.86","4,642.30","4,516.97","-","-1.48%"
"Jan 19, 2020","4,640.86","4,881.32","4,894.43","4,610.56","-","-4.93%"
"Jan 12, 2020","4,881.32","4,996.19","5,000.59","4,847.12","-","-2.30%"
"Jan 05, 2020","4,996.19","4,839.70","4,996.36","4,785.43","-","3.23%"
"Dec 29, 2019","4,839.70","4,669.06","4,839.70","4,652.73","-","3.65%"
"Dec 22, 2019","4,669.06","4,735.95","4,753.86","4,642.09","-","-1.41%"
"Dec 15, 2019","4,735.95","4,884.92","4,904.18","4,706.27","-","-3.05%"
"Dec 08, 2019","4,884.92","4,723.80","4,908.11","4,711.51","-","3.41%"
"Dec 01, 2019","4,723.80","4,538.80","4,758.39","4,468.30","-","4.08%"
"Nov 24, 2019","4,538.80","4,729.90","4,729.90","4,493.69","-","-4.04%"
"Nov 17, 2019","4,729.90","4,861.44","4,891.27","4,691.15","-","-2.71%"
"Nov 10, 2019","4,861.44","4,690.88","4,863.23","4,408.17","-","3.64%"
"Nov 03, 2019","4,690.88","4,744.13","4,836.45","4,566.30","-","-1.12%"
"Oct 27, 2019","4,744.13","4,943.85","4,972.95","4,699.61","-","-4.04%"
"Oct 20, 2019","4,943.85","5,192.39","5,194.01","4,853.51","-","-4.79%"
"Oct 13, 2019","5,192.39","5,136.60","5,192.39","5,119.96","-","1.09%"
"Oct 06, 2019","5,136.60","5,040.20","5,136.60","5,020.46","-","1.91%"
"Sep 29, 2019","5,040.20","5,099.64","5,121.34","4,983.82","-","-1.17%"
"Sep 22, 2019","5,099.64","5,072.93","5,152.30","4,954.54","-","0.53%"
"Sep 15, 2019","5,072.93","5,004.44","5,072.93","4,985.30","-","1.37%"
"Sep 08, 2019","5,004.44","4,823.57","5,008.70","4,820.61","-","3.78%"
"Sep 01, 2019","4,822.26","4,804.37","4,838.15","4,713.35","-","0.37%"
"Aug 25, 2019","4,804.37","4,648.62","4,804.58","4,589.45","-","3.35%"
"Aug 18, 2019","4,648.62","4,798.52","4,830.59","4,644.78","-","-3.12%"
"Aug 11, 2019","4,798.52","4,913.10","4,913.10","4,771.91","-","-2.33%"
"Aug 04, 2019","4,913.10","4,885.29","4,941.33","4,758.58","-","0.57%"
"Jul 28, 2019","4,885.29","4,981.09","5,008.67","4,872.05","-","-1.92%"
"Jul 21, 2019","4,981.09","5,052.72","5,063.89","4,962.73","-","-1.42%"
"Jul 14, 2019","5,052.72","5,068.41","5,083.16","5,027.28","-","-0.31%"
"Jul 07, 2019","5,068.41","5,075.73","5,090.74","5,036.69","-","-0.14%"
"Jun 30, 2019","5,075.73","5,070.71","5,099.89","5,008.81","-","0.10%"
