"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2020","4,008.28","4,008.28","4,008.28","4,008.28","-","0.00%"
"Apr 26, 2020","4,008.28","4,008.28","4,008.28","4,008.28","-","0.00%"
"Apr 05, 2020","4,008.28","4,008.28","4,008.28","4,008.28","-","0.00%"
"Mar 29, 2020","4,008.28","4,008.28","4,008.28","4,008.28","-","0.00%"
"Mar 22, 2020","4,008.28","3,974.96","4,013.75","3,949.80","-","0.84%"
"Mar 15, 2020","3,974.96","4,129.96","4,129.96","3,593.15","-","-3.75%"
"Mar 08, 2020","4,129.96","4,384.48","4,393.78","3,998.39","-","-5.81%"
"Mar 01, 2020","4,384.48","4,480.22","4,511.25","4,372.75","-","-2.14%"
"Feb 23, 2020","4,480.22","4,698.89","4,708.58","4,476.50","-","-5.34%"
"Feb 16, 2020","4,733.14","4,564.61","4,826.57","4,564.61","-","3.69%"
"Feb 09, 2020","4,564.61","4,452.96","4,569.72","4,374.67","-","2.51%"
"Feb 02, 2020","4,452.96","4,469.65","4,526.95","4,443.74","-","-0.37%"
"Jan 26, 2020","4,469.65","4,513.89","4,549.79","4,457.77","-","-0.98%"
"Jan 19, 2020","4,513.89","4,149.82","4,519.84","4,149.82","-","8.77%"
"Jan 12, 2020","4,149.82","4,197.39","4,241.73","4,009.70","-","-1.13%"
"Jan 05, 2020","4,197.39","4,459.29","4,465.04","4,187.48","-","-5.87%"
"Dec 29, 2019","4,459.29","4,418.83","4,480.39","4,418.83","-","0.92%"
"Dec 22, 2019","4,418.83","4,418.83","4,418.83","4,418.83","-","-0.85%"
"Dec 15, 2019","4,456.83","4,456.83","4,456.83","4,456.83","-","-1.28%"
"Dec 08, 2019","4,514.44","4,514.44","4,514.44","4,514.44","-","-3.36%"
"Dec 01, 2019","4,671.33","4,671.33","4,671.33","4,671.33","-","-1.27%"
"Nov 24, 2019","4,731.43","4,731.43","4,731.43","4,731.43","-","0.53%"
"Nov 17, 2019","4,706.66","4,706.66","4,706.66","4,706.66","-","-0.08%"
"Nov 10, 2019","4,710.36","4,710.36","4,710.36","4,710.36","-","-1.29%"
"Nov 03, 2019","4,771.91","4,771.91","4,771.91","4,771.91","-","1.90%"
"Oct 27, 2019","4,682.90","4,682.90","4,682.90","4,682.90","-","-1.87%"
"Oct 20, 2019","4,772.00","4,772.00","4,772.00","4,772.00","-","0.02%"
"Oct 13, 2019","4,770.99","4,770.99","4,770.99","4,770.99","-","-0.82%"
"Oct 06, 2019","4,810.21","4,810.21","4,810.21","4,810.21","-","-2.58%"
"Sep 29, 2019","4,937.82","4,937.82","4,937.82","4,937.82","-","-0.62%"
"Sep 22, 2019","4,968.46","4,968.46","4,968.46","4,968.46","-","2.32%"
"Sep 15, 2019","4,855.98","4,855.98","4,855.98","4,855.98","-","-1.58%"
"Sep 08, 2019","4,933.89","4,933.89","4,933.89","4,933.89","-","-1.58%"
"Sep 01, 2019","5,013.01","5,013.01","5,013.01","5,013.01","-","-1.62%"
"Aug 25, 2019","5,095.77","5,095.77","5,095.77","5,095.77","-","-2.69%"
"Aug 18, 2019","5,236.85","5,236.85","5,236.85","5,236.85","-","0.68%"
"Aug 11, 2019","5,201.42","5,201.42","5,201.42","5,201.42","-","0.00%"
"Aug 04, 2019","5,201.42","5,201.42","5,201.42","5,201.42","-","0.61%"
"Jul 28, 2019","5,169.73","5,169.73","5,169.73","5,169.73","-","0.71%"
"Jul 21, 2019","5,133.25","5,133.25","5,133.25","5,133.25","-","0.05%"
"Jul 14, 2019","5,130.69","5,130.69","5,130.69","5,130.69","-","-1.75%"
"Jul 07, 2019","5,222.30","5,222.30","5,222.30","5,222.30","-","-2.95%"
"Jun 30, 2019","5,380.79","5,380.79","5,380.79","5,380.79","-","-0.91%"
"Jun 23, 2019","5,430.04","5,430.04","5,430.04","5,430.04","-","0.64%"
"Jun 16, 2019","5,395.62","5,395.62","5,395.62","5,395.62","-","-1.44%"
"Jun 09, 2019","5,474.30","5,474.30","5,474.30","5,474.30","-","1.80%"
"Jun 02, 2019","5,377.74","5,377.74","5,377.74","5,377.74","-","0.00%"
"May 26, 2019","5,377.74","5,377.74","5,377.74","5,377.74","-","2.42%"
