"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","8,823.25","9,158.30","9,158.30","8,806.75","772.98K","-3.43%"
"May 10, 2020","9,136.85","9,353.45","9,576.40","9,044.10","575.86K","-1.24%"
"May 03, 2020","9,251.50","9,533.50","9,533.50","9,116.50","3.45B","-6.17%"
"Apr 26, 2020","9,859.90","9,259.70","9,889.05","9,250.35","2.71B","7.71%"
"Apr 19, 2020","9,154.40","9,390.20","9,390.85","8,909.40","3.44B","-1.21%"
"Apr 12, 2020","9,266.75","9,103.95","9,324.00","8,821.90","2.93B","1.70%"
"Apr 05, 2020","9,111.90","8,446.30","9,131.70","8,360.95","2.45B","12.72%"
"Mar 29, 2020","8,083.80","8,385.95","8,678.30","8,055.80","2.51B","-6.66%"
"Mar 22, 2020","8,660.25","7,945.70","9,038.90","7,511.10","3.80B","-0.97%"
"Mar 15, 2020","8,745.45","9,587.80","9,602.20","7,832.55","5.35B","-12.15%"
"Mar 08, 2020","9,955.20","10,742.05","10,751.55","8,555.15","5.52B","-9.41%"
"Mar 01, 2020","10,989.45","11,387.35","11,433.00","10,827.40","5.34B","-1.90%"
"Feb 23, 2020","11,201.75","12,012.55","12,012.55","11,175.05","2.94B","-7.28%"
"Feb 16, 2020","12,080.85","12,131.80","12,159.60","11,908.05","2.15B","-0.27%"
"Feb 09, 2020","12,113.45","12,102.35","12,246.70","11,990.75","2.54B","0.12%"
"Feb 02, 2020","12,098.35","11,627.45","12,160.60","11,614.50","3.03B","1.14%"
"Jan 26, 2020","11,962.10","12,197.10","12,216.60","11,945.85","2.74B","-2.34%"
"Jan 19, 2020","12,248.25","12,430.50","12,430.50","12,087.90","2.92B","-0.84%"
"Jan 12, 2020","12,352.35","12,296.70","12,389.05","12,278.75","2.70B","0.78%"
"Jan 05, 2020","12,256.80","12,170.60","12,311.20","11,929.60","2.43B","0.25%"
"Dec 29, 2019","12,226.65","12,274.90","12,289.90","12,151.80","1.98B","-0.16%"
"Dec 22, 2019","12,245.80","12,235.45","12,287.15","12,118.85","1.98B","-0.21%"
"Dec 15, 2019","12,271.80","12,131.35","12,293.90","12,046.30","2.89B","1.53%"
"Dec 08, 2019","12,086.70","11,939.10","12,098.85","11,832.30","3.60B","1.39%"
"Dec 01, 2019","11,921.50","12,137.05","12,137.15","11,888.85","3.25B","-1.12%"
"Nov 24, 2019","12,056.05","11,922.45","12,158.80","11,919.75","3.74B","1.19%"
"Nov 17, 2019","11,914.40","11,915.15","12,038.60","11,867.60","2.82B","0.16%"
"Nov 10, 2019","11,895.45","11,879.20","11,973.65","11,802.65","2.35B","-0.11%"
"Nov 03, 2019","11,908.15","11,928.90","12,034.15","11,850.25","3.41B","0.15%"
"Oct 27, 2019","11,890.60","11,643.95","11,945.00","11,627.35","3.95B","2.65%"
"Oct 20, 2019","11,583.90","11,657.15","11,714.35","11,490.75","3.04B","-0.67%"
"Oct 13, 2019","11,661.85","11,335.90","11,684.70","11,290.05","3.30B","3.16%"
