"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","2,890.08","2,872.52","2,900.22","2,862.27","22.60B","0.75%"
"May 10, 2020","2,868.46","2,901.57","2,914.28","2,863.37","99.40B","-0.93%"
"May 03, 2020","2,895.34","2,831.63","2,903.80","2,830.65","70.34B","1.23%"
"Apr 26, 2020","2,860.08","2,812.24","2,865.59","2,758.25","90.85B","1.84%"
"Apr 19, 2020","2,808.53","2,840.41","2,853.64","2,802.50","114.64B","-1.06%"
"Apr 12, 2020","2,838.49","2,784.60","2,854.96","2,774.08","103.42B","1.50%"
"Apr 05, 2020","2,796.63","2,806.97","2,833.01","2,789.98","98.53B","1.18%"
"Mar 29, 2020","2,763.99","2,739.72","2,780.64","2,719.90","109.43B","-0.30%"
"Mar 22, 2020","2,772.20","2,677.59","2,805.55","2,656.50","125.48B","0.97%"
"Mar 15, 2020","2,745.62","2,897.30","2,898.03","2,646.80","150.35B","-4.91%"
"Mar 08, 2020","2,887.43","2,987.18","3,010.03","2,799.98","183.46B","-4.85%"
"Mar 01, 2020","3,034.51","2,899.31","3,074.26","2,899.31","193.83B","5.35%"
"Feb 23, 2020","2,880.30","3,027.89","3,042.18","2,878.54","203.28B","-5.24%"
"Feb 16, 2020","3,039.67","2,924.99","3,058.90","2,924.99","165.03B","4.20%"
"Feb 09, 2020","2,917.01","2,860.50","2,935.41","2,851.05","133.83B","1.43%"
"Feb 02, 2020","2,875.96","2,716.70","2,876.59","2,685.27","151.56B","-3.38%"
"Jan 26, 2020","2,976.53","2,976.53","2,976.53","2,976.53","-","0.00%"
"Jan 19, 2020","2,976.53","3,082.11","3,096.31","2,955.35","94.19B","-3.22%"
"Jan 12, 2020","3,075.50","3,091.49","3,127.17","3,067.25","103.66B","-0.54%"
"Jan 05, 2020","3,092.29","3,070.91","3,107.20","3,059.13","134.09B","0.28%"
"Dec 29, 2019","3,083.79","2,998.17","3,098.10","2,983.34","101.95B","2.62%"
"Dec 22, 2019","3,005.04","2,999.04","3,036.11","2,960.43","97.39B","0.00%"
"Dec 15, 2019","3,004.94","2,970.97","3,039.38","2,958.71","117.27B","1.26%"
"Dec 08, 2019","2,967.68","2,914.46","2,969.98","2,902.79","86.02B","1.91%"
"Dec 01, 2019","2,912.01","2,874.45","2,912.01","2,857.32","65.54B","1.39%"
"Nov 24, 2019","2,871.98","2,885.61","2,915.04","2,858.58","72.46B","-0.46%"
"Nov 17, 2019","2,885.29","2,889.55","2,933.99","2,873.99","67.93B","-0.21%"
"Nov 10, 2019","2,891.34","2,949.96","2,949.96","2,891.20","68.21B","-2.46%"
"Nov 03, 2019","2,964.18","2,964.58","3,008.31","2,962.84","79.91B","0.20%"
"Oct 27, 2019","2,958.20","2,958.69","2,980.13","2,917.15","82.01B","0.11%"
"Oct 20, 2019","2,954.93","2,933.90","2,958.24","2,917.69","63.72B","0.57%"
"Oct 13, 2019","2,938.14","2,993.96","3,026.38","2,933.24","78.64B","-1.19%"
"Oct 06, 2019","2,973.66","2,905.76","2,980.79","2,891.54","55.14B","2.36%"
"Sep 29, 2019","2,905.19","2,927.92","2,936.48","2,905.19","11.66B","-0.92%"
"Sep 22, 2019","2,932.17","2,998.40","3,002.90","2,920.93","82.24B","-2.47%"
"Sep 15, 2019","3,006.45","3,041.92","3,042.93","2,970.57","95.81B","-0.82%"
"Sep 08, 2019","3,031.24","3,023.78","3,033.47","3,004.22","91.02B","1.05%"
"Sep 01, 2019","2,999.60","2,886.94","3,015.84","2,883.68","113.95B","3.93%"
"Aug 25, 2019","2,886.24","2,851.02","2,919.64","2,849.24","93.37B","-0.39%"
"Aug 18, 2019","2,897.43","2,835.52","2,902.46","2,829.85","87.16B","2.61%"
"Aug 11, 2019","2,823.82","2,781.98","2,840.32","2,756.83","70.78B","1.77%"
"Aug 04, 2019","2,774.75","2,854.58","2,863.69","2,733.92","85.40B","-3.25%"
"Jul 28, 2019","2,867.84","2,943.92","2,965.63","2,851.44","74.46B","-2.60%"
"Jul 21, 2019","2,944.54","2,925.79","2,948.33","2,879.69","75.03B","0.70%"
"Jul 14, 2019","2,924.20","2,921.55","2,955.00","2,886.70","74.84B","-0.22%"
"Jul 07, 2019","2,930.55","2,997.81","2,997.81","2,905.81","77.36B","-2.67%"
"Jun 30, 2019","3,011.06","3,024.62","3,048.48","2,990.92","102.88B","1.08%"
"Jun 23, 2019","2,978.88","3,004.29","3,012.83","2,948.99","100.55B","-0.77%"
"Jun 16, 2019","3,001.98","2,880.42","3,010.35","2,874.31","111.04B","4.16%"
"Jun 09, 2019","2,881.97","2,833.01","2,927.43","2,824.36","109.58B","1.92%"
"Jun 02, 2019","2,827.80","2,901.74","2,920.83","2,822.19","76.30B","-2.45%"
"May 26, 2019","2,898.70","2,851.28","2,934.98","2,833.04","102.00B","1.60%"
"May 19, 2019","2,852.99","2,874.80","2,919.24","2,838.45","98.54B","-1.02%"
"May 12, 2019","2,882.30","2,905.07","2,956.78","2,872.83","116.56B","-1.94%"
"May 05, 2019","2,939.21","2,984.73","2,986.54","2,838.38","129.41B","-4.52%"
"Apr 28, 2019","3,078.34","3,090.63","3,107.76","3,050.03","51.44B","-0.26%"
"Apr 21, 2019","3,086.40","3,278.49","3,279.49","3,085.80","156.32B","-5.64%"
"Apr 14, 2019","3,270.80","3,233.46","3,275.33","3,153.21","170.50B","2.58%"
"Apr 07, 2019","3,188.63","3,271.27","3,288.45","3,168.04","189.16B","-1.78%"
"Mar 31, 2019","3,246.57","3,111.66","3,254.14","3,111.66","181.29B","5.04%"
"Mar 24, 2019","3,090.76","3,058.80","3,093.03","2,987.77","168.84B","-0.43%"
"Mar 17, 2019","3,104.15","3,027.80","3,125.02","3,009.51","188.64B","2.73%"
"Mar 10, 2019","3,021.75","2,969.08","3,093.39","2,963.58","210.49B","1.75%"
"Mar 03, 2019","2,969.86","3,015.94","3,129.94","2,969.58","266.65B","-0.81%"
"Feb 24, 2019","2,994.01","2,838.39","2,997.49","2,838.39","226.52B","6.77%"
"Feb 17, 2019","2,804.23","2,699.82","2,804.23","2,699.82","139.46B","4.54%"
