"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2020","832.40","818.26","839.59","812.48","374.60K","2.29%"
"May 03, 2020","813.73","766.14","825.72","760.04","1.38M","5.80%"
"Apr 26, 2020","769.11","780.65","785.74","763.66","776.84K","-0.97%"
"Apr 19, 2020","776.66","796.17","797.49","749.97","1.45M","-1.64%"
"Apr 12, 2020","789.60","762.99","790.95","753.85","1.37M","4.18%"
"Apr 05, 2020","757.94","716.22","765.87","715.39","1.52M","8.00%"
"Mar 29, 2020","701.80","663.91","701.80","649.10","996.01K","0.82%"
"Mar 22, 2020","696.06","694.77","703.22","652.27","1.35M","-1.93%"
"Mar 15, 2020","709.73","758.28","758.59","709.73","1.42M","-6.83%"
"Mar 08, 2020","761.78","875.80","875.80","723.42","1.62M","-14.55%"
"Mar 01, 2020","891.44","878.43","898.43","877.31","1.10M","1.05%"
"Feb 23, 2020","882.19","917.49","917.49","872.46","1.06M","-5.45%"
"Feb 16, 2020","933.09","938.52","940.53","925.86","968.27K","-0.47%"
"Feb 09, 2020","937.45","934.38","943.11","926.61","943.44K","-0.35%"
"Feb 02, 2020","940.75","916.60","943.48","891.85","1.09M","0.44%"
"Jan 26, 2020","936.62","975.15","977.72","936.62","452.46K","-5.53%"
"Jan 19, 2020","991.46","978.23","991.46","975.93","458.82K","1.28%"
"Jan 12, 2020","978.96","966.89","980.02","964.79","852.93K","1.08%"
"Jan 05, 2020","968.54","962.79","969.71","945.28","1.08M","0.35%"
"Dec 29, 2019","965.14","962.89","970.88","958.22","737.72K","0.17%"
"Dec 22, 2019","963.51","959.55","963.51","953.29","1.16M","0.74%"
"Dec 15, 2019","956.41","966.00","966.00","946.74","1.35M","-1.01%"
"Dec 08, 2019","966.18","963.91","971.84","954.56","1.17M","0.27%"
"Dec 01, 2019","963.56","971.42","972.91","950.13","1.05M","-0.74%"
"Nov 24, 2019","970.75","977.85","982.76","967.68","938.31K","-0.72%"
"Nov 17, 2019","977.78","1,010.03","1,012.09","971.03","1.07M","-3.19%"
"Nov 10, 2019","1,010.03","1,023.32","1,024.77","1,005.10","1.14M","-1.22%"
"Nov 03, 2019","1,022.49","1,019.00","1,028.97","1,015.86","1.03M","0.68%"
"Oct 27, 2019","1,015.59","998.27","1,015.88","994.86","1.07M","1.91%"
"Oct 20, 2019","996.57","988.18","996.67","983.52","944.51K","0.75%"
"Oct 13, 2019","989.20","994.61","997.41","988.41","928.05K","-0.27%"
"Oct 06, 2019","991.84","989.45","992.00","981.89","891.40K","0.43%"
"Sep 29, 2019","987.59","999.92","1,004.17","983.35","910.38K","-1.03%"
"Sep 22, 2019","997.84","991.75","998.34","983.06","877.41K","0.76%"
"Sep 15, 2019","990.36","987.07","998.56","986.72","1.00M","0.32%"
"Sep 08, 2019","987.22","974.53","987.22","967.14","801.85K","1.35%"
"Sep 01, 2019","974.08","984.79","985.21","973.37","664.57K","-1.01%"
"Aug 25, 2019","984.06","983.80","988.49","973.34","818.37K","-0.85%"
"Aug 18, 2019","992.45","984.04","998.67","979.17","853.15K","1.27%"
"Aug 11, 2019","980.00","975.38","985.61","955.76","888.46K","0.58%"
"Aug 04, 2019","974.34","988.60","988.99","958.39","1.04M","-1.69%"
"Jul 28, 2019","991.10","994.23","1,002.77","982.64","884.47K","-0.23%"
"Jul 21, 2019","993.35","981.17","998.52","980.08","843.04K","1.12%"
"Jul 14, 2019","982.34","975.57","986.12","970.93","805.35K","0.71%"
"Jul 07, 2019","975.40","972.83","982.10","963.05","808.89K","0.01%"
"Jun 30, 2019","975.34","958.92","975.34","956.91","769.07K","2.67%"
"Jun 23, 2019","949.94","960.29","967.11","939.12","908.62K","-0.97%"
"Jun 16, 2019","959.20","953.97","964.52","938.95","880.30K","0.59%"
"Jun 09, 2019","953.61","963.78","966.90","946.29","728.08K","-0.49%"
"Jun 02, 2019","958.28","953.58","958.39","939.35","752.57K","-0.17%"
"May 26, 2019","959.88","970.73","978.80","959.88","729.29K","-1.05%"
"May 19, 2019","970.03","975.95","992.84","970.03","863.11K","-0.66%"
"May 12, 2019","976.48","952.11","981.22","951.76","884.37K","2.51%"
"May 05, 2019","952.55","964.37","965.61","944.91","756.72K","-2.22%"
"Apr 28, 2019","974.14","978.81","979.93","971.75","300.73K","-0.56%"
"Apr 21, 2019","979.64","963.78","979.64","959.33","772.96K","1.39%"
"Apr 14, 2019","966.21","970.87","980.71","962.05","604.11K","-1.70%"
"Apr 07, 2019","982.90","989.26","1,000.02","976.83","772.10K","-0.64%"
"Mar 31, 2019","989.26","980.76","996.41","980.30","996.17K","0.87%"
"Mar 24, 2019","980.76","976.53","988.24","964.76","972.12K","-0.80%"
"Mar 17, 2019","988.71","1,004.12","1,014.51","981.30","1.17M","-1.53%"
"Mar 10, 2019","1,004.12","982.94","1,011.39","981.34","1.09M","1.92%"
"Mar 03, 2019","985.25","983.50","1,004.55","983.33","1.20M","0.57%"
"Feb 24, 2019","979.63","996.06","999.90","965.47","1.13M","-0.94%"
"Feb 17, 2019","988.91","954.85","993.16","953.32","991.71K","4.00%"
"Feb 10, 2019","950.89","916.21","955.40","916.07","870.08K","4.65%"
"Jan 27, 2019","908.67","912.53","920.36","907.09","673.01K","-0.02%"
"Jan 20, 2019","908.88","905.25","913.37","903.09","674.81K","0.73%"
"Jan 13, 2019","902.30","903.83","912.48","897.18","709.96K","-0.05%"
"Jan 06, 2019","902.71","890.47","904.37","883.67","662.89K","2.48%"
"Dec 30, 2018","880.90","900.10","900.10","861.85","404.66K","-1.30%"
"Dec 23, 2018","892.54","910.86","916.41","882.17","876.10K","-2.16%"
"Dec 16, 2018","912.26","948.09","948.09","907.88","962.99K","-4.18%"
"Dec 09, 2018","952.04","955.06","966.83","949.34","988.59K","-0.68%"
"Dec 02, 2018","958.59","937.70","962.39","937.10","1.02M","3.46%"
"Nov 25, 2018","926.54","915.67","937.75","914.43","698.14K","0.93%"
"Nov 18, 2018","917.97","902.65","926.15","900.61","755.42K","2.20%"
"Nov 11, 2018","898.19","909.36","918.99","892.50","764.04K","-1.76%"
"Nov 04, 2018","914.29","920.87","932.86","914.29","713.64K","-1.14%"
"Oct 28, 2018","924.86","895.05","927.62","880.85","894.06K","2.67%"
"Oct 21, 2018","900.82","958.36","963.79","885.34","834.93K","-6.00%"
"Oct 14, 2018","958.36","968.80","975.27","945.83","744.74K","-1.21%"
"Oct 07, 2018","970.08","1,003.31","1,006.13","933.35","1.18M","-3.80%"
"Sep 30, 2018","1,008.39","1,019.49","1,024.68","1,008.39","1.27M","-0.86%"
"Sep 23, 2018","1,017.13","1,007.52","1,020.84","1,007.44","1.14M","1.41%"
"Sep 16, 2018","1,002.97","990.65","1,009.10","981.89","1.11M","1.17%"
"Sep 09, 2018","991.34","969.74","995.55","967.92","919.03K","2.32%"
"Sep 02, 2018","968.90","990.79","992.18","955.50","697.24K","-2.09%"
"Aug 26, 2018","989.54","990.19","1,003.06","983.43","915.91K","0.25%"
"Aug 19, 2018","987.05","970.81","989.45","966.46","912.44K","1.88%"
"Aug 12, 2018","968.88","966.46","982.00","947.09","904.56K","0.04%"
"Aug 05, 2018","968.47","960.12","972.52","953.71","899.85K","0.92%"
"Jul 29, 2018","959.60","940.76","966.10","937.69","1.05M","2.57%"
"Jul 22, 2018","935.52","931.52","949.14","920.99","1.02M","0.23%"
"Jul 15, 2018","933.39","914.22","947.07","902.02","919.25K","2.60%"
"Jul 08, 2018","909.72","922.72","929.50","884.75","651.20K","-0.85%"
"Jul 01, 2018","917.51","955.18","956.78","884.99","779.14K","-4.50%"
"Jun 24, 2018","960.78","997.34","997.34","950.48","792.39K","-2.28%"
"Jun 17, 2018","983.17","1,016.51","1,018.98","941.57","835.85K","-3.28%"
"Jun 10, 2018","1,016.51","1,033.55","1,045.60","1,005.10","846.08K","-2.17%"
"Jun 03, 2018","1,039.01","994.48","1,043.71","992.01","861.94K","4.65%"
"May 27, 2018","992.87","938.86","995.06","916.00","935.66K","3.01%"
"May 20, 2018","963.90","1,043.82","1,043.82","963.90","765.28K","-7.37%"
"May 13, 2018","1,040.54","1,051.69","1,084.20","1,013.57","984.18K","-0.41%"
"May 06, 2018","1,044.85","1,034.64","1,072.28","1,014.30","826.29K","1.76%"
"Apr 29, 2018","1,026.80","1,053.26","1,053.52","1,003.79","549.89K","-2.23%"
"Apr 22, 2018","1,050.26","1,124.33","1,127.24","1,031.89","804.65K","-6.22%"
"Apr 15, 2018","1,119.86","1,156.54","1,160.32","1,078.01","963.52K","-3.22%"
"Apr 08, 2018","1,157.14","1,202.44","1,211.34","1,153.64","1.20M","-3.57%"
"Apr 01, 2018","1,199.96","1,180.26","1,202.59","1,179.73","1.23M","2.17%"
"Mar 25, 2018","1,174.46","1,150.51","1,187.42","1,150.51","1.05M","1.81%"
"Mar 18, 2018","1,153.59","1,158.16","1,180.44","1,138.53","1.22M","0.30%"
"Mar 11, 2018","1,150.19","1,135.37","1,152.52","1,118.49","1.27M","2.38%"
"Mar 04, 2018","1,123.41","1,121.21","1,135.02","1,091.67","1.21M","0.20%"
"Feb 25, 2018","1,121.21","1,115.90","1,129.89","1,103.16","1.10M","1.66%"
"Feb 18, 2018","1,102.85","1,073.33","1,102.85","1,070.43","567.01K","4.07%"
"Feb 11, 2018","1,059.73","1,011.64","1,060.48","1,011.64","345.39K","5.56%"
"Feb 04, 2018","1,003.94","1,089.62","1,090.88","973.78","1.43M","-9.15%"
"Jan 28, 2018","1,105.04","1,121.78","1,130.10","1,090.25","1.43M","-0.95%"
"Jan 21, 2018","1,115.64","1,066.86","1,123.83","1,066.61","1.07M","5.04%"
"Jan 14, 2018","1,062.07","1,049.91","1,067.21","1,020.01","1.59M","1.14%"
"Jan 07, 2018","1,050.11","1,011.36","1,057.88","1,004.89","1.63M","3.70%"
"Dec 31, 2017","1,012.65","986.05","1,020.60","984.34","960.26K","2.89%"
"Dec 24, 2017","984.24","954.28","990.10","952.41","961.64K","3.35%"
"Dec 17, 2017","952.32","945.90","963.01","945.12","1.10M","1.83%"
"Dec 10, 2017","935.16","930.17","939.57","895.73","1.01M","-0.53%"
"Dec 03, 2017","940.16","962.47","974.80","930.29","1.17M","-2.10%"
